SOURCE,Summary Topics x13,Summary Category x13,Summary Category x19,Summary Category 2,CATEGORY / SUB-CATEGORY / SUBJECT / TOPIC,CATEGORY / SUB-CATEGORY,"""See also"" [from ShopTags]"
BlogCategories,,-,"Archives, Museums, Libraries",,Archives and archivists,,
MediaCategories,,-,"Archives, Museums, Libraries",,Archives and archivists,,
CatalogueTaxonomyTerms,,-,"Archives, Museums, Libraries",,Archives and libraries,,
CatalogueTaxonomyTerms,,-,"Archives, Museums, Libraries",,Events and exhibitions,,
ImageLibraryCategories,,-,"Archives, Museums, Libraries",,Events and exhibitions,,
MediaCategories,,-,"Archives, Museums, Libraries",,Information Management,,
BlogCategories,,-,"Archives, Museums, Libraries",,Managing information,,
ImageLibraryCategories,,-,"Archives, Museums, Libraries",,Manuscripts,,
CatalogueTaxonomyTerms,,-,"Archives, Museums, Libraries",,Museums and galleries,,
CatalogueTaxonomyTerms,,-,"Archives, Museums, Libraries",,Official publications,,
MediaCategories,,-,-,,Audio,,
BlogCategories,,-,-,,Behind the scenes,,
MediaCategories,,-,-,,Big Ideas,,
MediaCategories,,-,-,,British Sign Language (BSL),,
MediaCategories,,-,-,,Introductions,,
MediaCategories,,-,-,,On the Record,,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Army and militia,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,"Births, marriages and deaths",
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Census and other national surveys,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Civilian occupations,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,"Courts, criminals and prisoners",
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Domestic politics,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,First World War,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Maps,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Medals and awards,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Merchant Navy,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Migration,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Military courts and conscription,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Prisoners of war,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Royal Air Force and other air services,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Royal Navy and Royal Marines,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Second World War,
ResearchGuidesCategoriesSubcategories,,-,-,,Online collections,Wills and death duties,
MediaCategories,,-,-,,Podcasts,,
BlogCategories,,-,-,,Records and research,,
ResearchGuidesCategoriesSubcategories,,-,-,,Records for current legal purposes,,
ShopTags,,-,-,,Remembrance,,World War I; World War II
MediaCategories,,-,-,,Video,,
MediaCategories,,-,-,,Voices of the Armistice,,
MediaCategories,,-,-,,War on Film,,
MediaCategories,,-,-,,What's Online,,
ResearchGuidesSubcategoriesCategories,,?,?,,Local history,Land and maps,
ASDTopics,,?,?,,London,,
ShopTags,,?,?,,London,,
ImageLibraryCategories,,?,?,,Places,,
ImageLibraryCategories,,?,?,,Posters,,
CatalogueTaxonomyTerms,,?,?,,UFOs,,
ASDTopics,,[period],[period],,Medieval and Early Modern,,
ResearchGuidesSubcategoriesCategories,,[period],[period],,Medieval and Early Modern,Political and economic history,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Church and religion,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Family history,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Foreign affairs and diplomacy,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Household ceremonial and culture,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Landholding and inheritance,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Law and justice,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Military history,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Politics and government,
ResearchGuidesCategoriesSubcategories,,[period],[period],,Medieval and early modern history,Trade and economy,
ImageLibraryCategories,,[period],[period],,Victoriana and Edwardiana,,
ASDTopics,Arts and Culture,"People, Society and Culture",Sport,,2012 Olympics,,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Africa,,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,Money and Finance,Aid and development,,
CatalogueTaxonomyTerms,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Air Force,,
CatalogueTaxonomyTerms,Transport and Travel,Transport and Travel,Transport and Travel,,Air transport,,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Americas,,
CatalogueTaxonomyTerms,Arts and Culture,Land and Buildings,Land and Buildings,,Ancient Monuments and Historical Buildings,,
ShopTags,Agriculture and Environment,Agriculture and Environment,Nature and Environment,,Animals,,
ASDTopics,Land and Buildings,Land and Buildings,Land and Buildings,,"Architecture, Building and Construction",,
CatalogueTaxonomyTerms,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Armed Forces (General Administration),,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Armistice,,
CatalogueTaxonomyTerms,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Army,,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Army,First World War,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Army,Second World War,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Army and militia,Family history,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Army and militia,Military and maritime,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Army and militia,Online collections,
ASDTopics,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Art,,
CatalogueTaxonomyTerms,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,"Art, architecture and design",,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Asia,,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Australia and Pacific,,
CatalogueTaxonomyTerms,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Badges and insignia,,Medals
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,,Banking,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,Military and Maritime,Battle of Britain,,World War II
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,"Births, marriages and deaths",Family history,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,"Births, marriages and deaths",First World War,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,"Births, marriages and deaths",Military and maritime,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,"Births, marriages and deaths",Online collections,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,"Births, marriages and deaths",Second World War,
ASDTopics,Family and Identity,"People, Society and Culture","People, Society and Culture",The World,Black and Minority Ethnic History,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Bletchley Park,,Intelligence; World War II
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Blitz,,World War II
ASDTopics,"Business, Finance and Innovation",Agriculture and Environment,Food and Agriculture,,Brewing,,
ImageLibraryCategories,Land and Buildings,Land and Buildings,Land and Buildings,,Buildings and architecture,,
ASDTopics,"Business, Finance and Innovation","Money, Business, Finance and Trade",Trade and Industry,,Business,,
CatalogueTaxonomyTerms,Transport and Travel,Transport and Travel,Transport and Travel,,Canals and river transport,,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Caribbean,,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Census,,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Census and other national surveys,Family history,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Census and other national surveys,Online collections,
ShopTags,International Trade and Affairs,The World,The World,,Channel Islands,,
CatalogueTaxonomyTerms,State and Citizens,"People, Society and Culture","People, Society and Culture",Money and Finance,Charities,,
ASDTopics,State and Citizens,"People, Society and Culture","People, Society and Culture",Money and Finance,Charities and philanthropy,,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Oppression and Revolution,Politics and Law,Chartism,,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Children,,
ShopTags,Religion and Belief,Religion,Religion,,Church and clergy,,
ResearchGuidesSubcategoriesCategories,Land and Buildings,Land and Buildings,Land and Buildings,Religion,Church and crown lands,Land and maps,
ResearchGuidesSubcategoriesCategories,Religion and Belief,Religion,Religion,,Church and religion,Medieval and early modern history,
ResearchGuidesSubcategoriesCategories,"Crime, Courts and Justice",State and Citizens,Politics and Law,,Civil court cases and litigation,"Criminals, courts and prisons",
ResearchGuidesSubcategoriesCategories,Family and Identity,"Military, War and Conflict",War and Conflict,Trade and Industry,Civilian occupations,Online collections,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Clothing,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Trade and Industry,Nature and Environment,Coal,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Cold War,,Intelligence
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Colonial affairs and colonies,Foreign and colonial history,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Colonial affairs and colonies,Political and economic history,
ImageLibraryCategories,International Trade and Affairs,The World,The World,,Colonial and Empire,,
CatalogueTaxonomyTerms,Land and Buildings,Land and Buildings,Land and Buildings,,Common land,,
CatalogueTaxonomyTerms,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Communications,,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Oppression and Revolution,Politics and Law,Communism,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,,Computing,,
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,,Conflict,,
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,,Conscientious objection,,World War I; World War II
ShopTags,Agriculture and Environment,Agriculture and Environment,Nature and Environment,,Conservation,,
CatalogueTaxonomyTerms,Land and Buildings,Land and Buildings,Land and Buildings,Trade and Industry,Construction industries,,
CatalogueTaxonomyTerms,Land and Buildings,Land and Buildings,Land and Buildings,Money and Finance,Conveyancing,,
ShopTags,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,Courts and trials,,Legal; Litigation
ResearchGuidesSubcategoriesCategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Courts, criminals and prisoners",Online collections,
ResearchGuidesSubcategoriesCategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Courts, criminals, prisoners and litigants",Family history,
CatalogueTaxonomyTerms,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,Crime,,Jack the Ripper
ImageLibraryCategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,Crime,,
ResearchGuidesSubcategoriesCategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,Criminals and criminal court cases,"Criminals, courts and prisons",
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Criminals, courts and prisons",Civil court cases and litigation,
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Criminals, courts and prisons",Criminals and criminal court cases,
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Criminals, courts and prisons",Divorce,
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Criminals, courts and prisons",Military courts,
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Criminals, courts and prisons",Prisons and prisoners,
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,"Criminals, courts and prisons",Wills and death duties,
CatalogueTaxonomyTerms,Land and Buildings,Land and Buildings,Land and Buildings,,Crown lands and estates,,
ResearchGuidesSubcategoriesCategories,Arts and Culture,"People, Society and Culture","People, Society and Culture",,Cultural,Social and cultural history,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,D-Day,,World War II
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,,Debt,,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Politics and Law,,Democracy,,
ImageLibraryCategories,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Design,,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Politics and Law,,Devolution,,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Diaries,,
ShopTags,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,,Digital,,
ASDTopics,Health and Welfare,Health and Welfare,Health and Welfare,"People, Society and Culture",Disability,,
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,"People, Society and Culture",Disability,,
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,,Disarmament,,
CatalogueTaxonomyTerms,Transport and Travel,Agriculture and Environment,Nature and Environment,,Disasters and emergencies,,Titanic
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,,Disease,,Medicine
ResearchGuidesSubcategoriesCategories,"Crime, Courts and Justice","People, Society and Culture","People, Society and Culture",,Divorce,"Criminals, courts and prisons",
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,"Divorce, adoption and change of name",Family history,
ShopTags,Health and Welfare,Health and Welfare,Health and Welfare,"People, Society and Culture",DNA,,
ShopTags,State and Citizens,Land and Buildings,Land and Buildings,,Domesday,,
ResearchGuidesSubcategoriesCategories,State and Citizens,State and Citizens,Politics and Law,,Domestic politics,Online collections,
ResearchGuidesSubcategoriesCategories,State and Citizens,State and Citizens,Politics and Law,,Domestic politics,Political and economic history,
ShopTags,Family and Identity,"People, Society and Culture",Trade and Industry,,Domestic Service,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,The World,Dunkirk,,World War II
ShopTags,International Trade and Affairs,"Money, Business, Finance and Trade",Trade and Industry,The World,East India Company,,Trade and commerce
ResearchGuidesSubcategoriesCategories,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,,Economic history,Political and economic history,
ASDTopics,State and Citizens,"People, Society and Culture","People, Society and Culture",,Education,,
CatalogueTaxonomyTerms,State and Citizens,"People, Society and Culture","People, Society and Culture",,Education,,
ResearchGuidesSubcategoriesCategories,State and Citizens,"People, Society and Culture","People, Society and Culture",,Education,Social and cultural history,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Politics and Law,Oppression and Revolution,Electoral reform,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,,Electricity,,
ShopTags,International Trade and Affairs,The World,The World,,Empire,,
ImageLibraryCategories,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Entertainment and theatre,,
ASDTopics,Agriculture and Environment,Agriculture and Environment,Nature and Environment,,Environment,,
ResearchGuidesSubcategoriesCategories,Agriculture and Environment,Agriculture and Environment,Food and Agriculture,Nature and Environment,Environment agriculture,Land and maps,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Europe and Russia,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Evacuees,,
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice","People, Society and Culture","People, Society and Culture",,Family history,"Courts, criminals, prisoners and litigants",
MediaCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,,
ShopTags,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Births, marriages and deaths",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,Census and other national surveys,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Divorce, adoption and change of name",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Immigrants, emigrants and refugees",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Occupations, commerce and trade",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,Tracing living people and electoral registration,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Wills, inheritance and land ownership",
ResearchGuidesCategoriesSubcategories,Health and Welfare,"People, Society and Culture","People, Society and Culture",,Family history,Health and welfare,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,"People, Society and Culture","People, Society and Culture",,Family history,Foreign and colonial,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,"People, Society and Culture","People, Society and Culture",,Family history,Foreign and colonial history,
ResearchGuidesCategoriesSubcategories,Land and Buildings,"People, Society and Culture","People, Society and Culture",,Family history,"Houses, schools and other institutions",
ResearchGuidesCategoriesSubcategories,Military and Maritime,"People, Society and Culture","People, Society and Culture",,Family history,Army and militia,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"People, Society and Culture","People, Society and Culture",,Family history,Medals and awards,
