SOURCE,Summary Topics x13,Summary Category x13,Summary Category x19,Summary Category 2,CATEGORY / SUB-CATEGORY / SUBJECT / TOPIC,CATEGORY / SUB-CATEGORY,"""See also"" [from ShopTags]"
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Trade and Industry,Nature and Environment,Mining and quarrying,,
ImageLibraryCategories,State and Citizens,"People, Society and Culture","People, Society and Culture",Politics and Law,Monarchy,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,"People, Society and Culture",Mutual societies,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,Politics and Law,National debt,,
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,,National Health Service,,
ShopTags,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,National Service,,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Nationality,,
ASDTopics,Agriculture and Environment,Agriculture and Environment,Nature and Environment,,Nature,,
CatalogueTaxonomyTerms,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Navy,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,,Nuclear energy,,
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,,Nursing,,Medicine
ResearchGuidesSubcategoriesCategories,Health and Welfare,Health and Welfare,Health and Welfare,,Nursing,First World War,
ResearchGuidesSubcategoriesCategories,Health and Welfare,Health and Welfare,Health and Welfare,,Nursing,Military and maritime,
ResearchGuidesSubcategoriesCategories,Health and Welfare,Health and Welfare,Health and Welfare,,Nursing,Second World War,
ResearchGuidesSubcategoriesCategories,Family and Identity,"Money, Business, Finance and Trade",Trade and Industry,,Occupations,Social and cultural history,
ResearchGuidesSubcategoriesCategories,"Business, Finance and Innovation","Money, Business, Finance and Trade",Trade and Industry,,"Occupations, commerce and trade",Family history,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Trade and Industry,Nature and Environment,Oil and gas,,
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,,"Operations, battles and campaigns",,Wars of the Roses; Waterloo
ShopTags,Land and Buildings,Land and Buildings,Land and Buildings,,Ordnance Survey,,Maps and plans
ResearchGuidesSubcategoriesCategories,Land and Buildings,Land and Buildings,Land and Buildings,"People, Society and Culture",Ownership and inheritance,Land and maps,
CatalogueTaxonomyTerms,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,Politics and Law,Pardons,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,,Pay and pensions,,
ImageLibraryCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,People,,
CatalogueTaxonomyTerms,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Performing arts,,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Personal and family papers,,
ShopTags,State and Citizens,State and Citizens,Oppression and Revolution,Politics and Law,Peterloo,,Public disorder
ASDTopics,Health and Welfare,Health and Welfare,Health and Welfare,Science and Technology,Pharmacy and Medicine,,
CatalogueTaxonomyTerms,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Photography and film,,
ImageLibraryCategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,Piracy,,
CatalogueTaxonomyTerms,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,Piracy and privateering,,
CatalogueTaxonomyTerms,Land and Buildings,Land and Buildings,Land and Buildings,Nature and Environment,Planning (Land and Buildings),,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Polar,,
CatalogueTaxonomyTerms,State and Citizens,Crime and Justice,Crime and Justice,Politics and Law,Policing,,
ResearchGuidesCategoriesSubcategories,"Business, Finance and Innovation",State and Citizens,Politics and Law,Money and Finance,Political and economic history,Economic history,
ResearchGuidesCategoriesSubcategories,Family and Identity,State and Citizens,Politics and Law,Money and Finance,Political and economic history,Migration,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,State and Citizens,Politics and Law,Money and Finance,Political and economic history,Colonial affairs and colonies,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,State and Citizens,Politics and Law,Money and Finance,Political and economic history,Foreign affairs and countries,
ResearchGuidesCategoriesSubcategories,Land and Buildings,State and Citizens,Politics and Law,Money and Finance,Political and economic history,Maps and images,
ResearchGuidesCategoriesSubcategories,State and Citizens,State and Citizens,Politics and Law,Money and Finance,Political and economic history,Domestic politics,
ResearchGuidesCategoriesSubcategories,State and Citizens,State and Citizens,Politics and Law,Money and Finance,Political and economic history,Medieval and Early Modern,
MediaCategories,State and Citizens,State and Citizens,Politics and Law,,Political history,,
ASDTopics,State and Citizens,State and Citizens,Politics and Law,,Politics,,
ImageLibraryCategories,State and Citizens,State and Citizens,Politics and Law,,Politics,,
ResearchGuidesSubcategoriesCategories,State and Citizens,State and Citizens,Politics and Law,,Politics and government,Medieval and early modern history,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Population,,
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,"People, Society and Culture",Poverty,,
ShopTags,Military and Maritime,"Military, War and Conflict",War and Conflict,,POWs,,Prisons; World War II
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Prisoners of war,Online collections,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Prisoners of war and internees,Family history,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Prisoners of war and internees,First World War,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Prisoners of war and internees,Military and maritime,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Prisoners of war and internees,Second World War,
CatalogueTaxonomyTerms,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,Politics and Law,Prisons,,POWs
ResearchGuidesSubcategoriesCategories,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,Politics and Law,Prisons and prisoners,"Criminals, courts and prisons",
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Politics and Law,Oppression and Revolution,Public disorder,,Peterloo
CatalogueTaxonomyTerms,State and Citizens,"People, Society and Culture","People, Society and Culture",,Race relations,,
CatalogueTaxonomyTerms,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Radio and television,,
CatalogueTaxonomyTerms,Transport and Travel,Transport and Travel,Transport and Travel,,Railways,,
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,Food and Agriculture,Rationing,,
ShopTags,Religion and Belief,Religion,Religion,Oppression and Revolution,Reformation,,Religious discrimination and persecution
CatalogueTaxonomyTerms,War and Conflict,State and Citizens,Oppression and Revolution,War and Conflict,Refugees,,
ASDTopics,Religion and Belief,Religion,Religion,,Religions,,
CatalogueTaxonomyTerms,Religion and Belief,Religion,Religion,,Religions,,
CatalogueTaxonomyTerms,Religion and Belief,Religion,Religion,Oppression and Revolution,Religious discrimination and persecution,,Reformation
ResearchGuidesSubcategoriesCategories,Religion and Belief,Religion,Religion,,Religious groups,Family history,
ResearchGuidesSubcategoriesCategories,Religion and Belief,Religion,Religion,,Religious groups,Social and cultural history,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,Nature and Environment,Renewable energies,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,,Research,,
CatalogueTaxonomyTerms,Agriculture and Environment,Agriculture and Environment,Nature and Environment,,Resources,,
CatalogueTaxonomyTerms,Transport and Travel,Transport and Travel,Transport and Travel,,Road transport,,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Air Force and other air services,Family history,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Air Force and other air services,First World War,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Air Force and other air services,Military and maritime,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Air Force and other air services,Online collections,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Air Force and other air services,Second World War,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Navy and Royal Marines,Family history,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Navy and Royal Marines,First World War,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Navy and Royal Marines,Military and maritime,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Navy and Royal Marines,Online collections,
ResearchGuidesSubcategoriesCategories,Military and Maritime,"Military, War and Conflict",Military and Maritime,War and Conflict,Royal Navy and Royal Marines,Second World War,
CatalogueTaxonomyTerms,Agriculture and Environment,Land and Buildings,Land and Buildings,,Royal Parks,,
CatalogueTaxonomyTerms,State and Citizens,"People, Society and Culture","People, Society and Culture",Politics and Law,Royalty,,
ASDTopics,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,Trade and Industry,"Science, Technology, Engineering, and Mathematics Research",,
ASDTopics,State and Citizens,The World,The World,,Scotland,,
ShopTags,State and Citizens,The World,The World,,Scotland,,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Second World War,Army,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Second World War,Medals and awards,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Second World War,Merchant Navy,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Second World War,Military courts and conscription,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Second World War,Nursing,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Second World War,Royal Air Force and other air services,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,Second World War,Royal Navy and Royal Marines,
ImageLibraryCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,"Births, marriages and deaths",
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,Foreign and colonial affairs,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,Home Front,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,Intelligence services,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,"Maps, plans and land",
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,Online collections,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,Prisoners of war and internees,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Second World War,War crimes,
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,Nature and Environment,Sewerage,,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Sex and gender,,
CatalogueTaxonomyTerms,Transport and Travel,Transport and Travel,Transport and Travel,Trade and Industry,Shipping,,
CatalogueTaxonomyTerms,Family and Identity,State and Citizens,Oppression and Revolution,,Slavery,,
ImageLibraryCategories,Family and Identity,State and Citizens,Oppression and Revolution,,Slavery,,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Social,Social and cultural history,
ResearchGuidesCategoriesSubcategories,Arts and Culture,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Cultural,
ResearchGuidesCategoriesSubcategories,Arts and Culture,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Social,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Migration,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Occupations,
ResearchGuidesCategoriesSubcategories,Health and Welfare,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Health,
ResearchGuidesCategoriesSubcategories,Land and Buildings,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Land,
ResearchGuidesCategoriesSubcategories,Religion and Belief,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Religious groups,
ResearchGuidesCategoriesSubcategories,State and Citizens,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Education,
ResearchGuidesCategoriesSubcategories,Transport and Travel,"People, Society and Culture","People, Society and Culture",,Social and cultural history,Transport and passengers,
MediaCategories,Arts and Culture,"People, Society and Culture","People, Society and Culture",,Social history,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,SOE,,World War II
ImageLibraryCategories,Arts and Culture,"People, Society and Culture",Sport,,Sport,,
CatalogueTaxonomyTerms,Arts and Culture,"People, Society and Culture",Sport,,Sports,,
ASDTopics,Arts and Culture,"People, Society and Culture",Sport,"Arts, Design and Media",Sports and Recreation,,
ShopTags,War and Conflict,"Military, War and Conflict",Military and Maritime,War and Conflict,Submarines,,
ShopTags,War and Conflict,"Military, War and Conflict",Military and Maritime,War and Conflict,Tanks,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,Politics and Law,Taxation,,
ResearchGuidesSubcategoriesCategories,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,Land and Buildings,Taxes on land,Land and maps,
BlogCategories,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,,Technology and innovation,,
ShopTags,Transport and Travel,Transport and Travel,Transport and Travel,,Titanic,,Disasters and emergencies
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,Land and Buildings,Tithes,,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Tracing living people and electoral registration,Family history,
CatalogueTaxonomyTerms,International Trade and Affairs,"Money, Business, Finance and Trade",Trade and Industry,,Trade and commerce,,East India Company
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,"Money, Business, Finance and Trade",Trade and Industry,,Trade and economy,Medieval and early modern history,
ASDTopics,Transport and Travel,Transport and Travel,Transport and Travel,,Transport,,
ResearchGuidesSubcategoriesCategories,Transport and Travel,Transport and Travel,Transport and Travel,,Transport and passengers,Social and cultural history,
ImageLibraryCategories,Transport and Travel,Transport and Travel,Transport and Travel,,Transport and travel,,
CatalogueTaxonomyTerms,Transport and Travel,Transport and Travel,Transport and Travel,,Transport management,,
CatalogueTaxonomyTerms,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,The World,Transportation,,
CatalogueTaxonomyTerms,Transport and Travel,Transport and Travel,Transport and Travel,,Travel and tourism,,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Oppression and Revolution,Politics and Law,Treason and rebellion,,
CatalogueTaxonomyTerms,International Trade and Affairs,State and Citizens,Politics and Law,The World,Treaties and alliances,,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Politics and Law,Oppression and Revolution,Votes for women,,
ASDTopics,State and Citizens,The World,The World,,Wales,,
ASDTopics,War and Conflict,"Military, War and Conflict",War and Conflict,,War and Conflict,,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,Crime and Justice,War crimes,Military and maritime,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,Crime and Justice,War crimes,Second World War,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Wars,Military and maritime,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Wars of the Roses,,"Operations, battles and campaigns"
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,The World,Waterloo,,"Operations, battles and campaigns"
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,,Weapons,,
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,,Welfare,,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",Money and Finance,Wills and death duties,"Criminals, courts and prisons",
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",Money and Finance,Wills and death duties,Online collections,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",Money and Finance,Wills and probate,,
ResearchGuidesSubcategoriesCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",Money and Finance,"Wills, inheritance and land ownership",Family history,
CatalogueTaxonomyTerms,Religion and Belief,Religion,Religion,,Witchcraft,,
ASDTopics,Family and Identity,"People, Society and Culture","People, Society and Culture",,Women's History,,
ShopTags,Family and Identity,"People, Society and Culture","People, Society and Culture",,Women's History,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,World War I,Military,Conscientious objection; Home Front; Remembrance; Zeppelins
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,World War II,Military,Battle of Britain; Bletchley Park; Blitz; Conscientious objection; D-Day; Dunkirk; Evacuees; POWs; Home Front; Home Guard; Remembrance; SOE
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Zeppelins,,World War I